Provinsi,Jenjang_Pendidikan,Tahun_Dari,Tahun_Ke,Nilai_Awal,Nilai_Akhir,Perubahan_Absolut,Perubahan_Persen,Status_Trend
ACEH,SD,2015,2016,96.47,98.07,1.6,1.66,Naik
ACEH,SD,2016,2017,98.07,97.85,-0.22,-0.22,Stabil
ACEH,SD,2017,2018,97.85,96.75,-1.1,-1.12,Turun
ACEH,SD,2018,2019,96.75,98.6,1.85,1.91,Naik
ACEH,SD,2019,2020,98.6,98.33,-0.27,-0.27,Stabil
ACEH,SD,2020,2021,98.33,99.44,1.11,1.13,Naik
ACEH,SD,2021,2022,99.44,99.45,0.01,0.01,Stabil
ACEH,SD,2022,2023,99.45,99.08,-0.37,-0.37,Stabil
ACEH,SMP,2015,2016,89.01,88.7,-0.31,-0.35,Stabil
ACEH,SMP,2016,2017,88.7,89.42,0.72,0.81,Naik
ACEH,SMP,2017,2018,89.42,87.15,-2.27,-2.54,Turun
ACEH,SMP,2018,2019,87.15,89.5,2.35,2.7,Naik
ACEH,SMP,2019,2020,89.5,90.92,1.42,1.59,Naik
ACEH,SMP,2020,2021,90.92,93.43,2.51,2.76,Naik
ACEH,SMP,2021,2022,93.43,97.63,4.2,4.5,Naik
ACEH,SMP,2022,2023,97.63,94.55,-3.08,-3.15,Turun
ACEH,SMA,2015,2016,68.16,74.46,6.3,9.24,Naik
ACEH,SMA,2016,2017,74.46,70.64,-3.82,-5.13,Turun
ACEH,SMA,2017,2018,70.64,70.68,0.04,0.06,Stabil
ACEH,SMA,2018,2019,70.68,69.96,-0.72,-1.02,Turun
ACEH,SMA,2019,2020,69.96,70.07,0.11,0.16,Stabil
ACEH,SMA,2020,2021,70.07,74.36,4.29,6.12,Naik
ACEH,SMA,2021,2022,74.36,70.67,-3.69,-4.96,Turun
ACEH,SMA,2022,2023,70.67,74.46,3.79,5.36,Naik
BALI,SD,2015,2016,96.73,97.0,0.27,0.28,Stabil
BALI,SD,2016,2017,97.0,97.21,0.21,0.22,Stabil
BALI,SD,2017,2018,97.21,96.4,-0.81,-0.83,Turun
BALI,SD,2018,2019,96.4,98.34,1.94,2.01,Naik
BALI,SD,2019,2020,98.34,96.66,-1.68,-1.71,Turun
BALI,SD,2020,2021,96.66,97.02,0.36,0.37,Stabil
BALI,SD,2021,2022,97.02,97.55,0.53,0.55,Naik
BALI,SD,2022,2023,97.55,98.43,0.88,0.9,Naik
BALI,SMP,2015,2016,85.95,91.99,6.04,7.03,Naik
BALI,SMP,2016,2017,91.99,91.43,-0.56,-0.61,Turun
BALI,SMP,2017,2018,91.43,93.78,2.35,2.57,Naik
BALI,SMP,2018,2019,93.78,93.33,-0.45,-0.48,Stabil
BALI,SMP,2019,2020,93.33,93.21,-0.12,-0.13,Stabil
BALI,SMP,2020,2021,93.21,94.26,1.05,1.13,Naik
BALI,SMP,2021,2022,94.26,94.15,-0.11,-0.12,Stabil
BALI,SMP,2022,2023,94.15,93.03,-1.12,-1.19,Turun
BALI,SMA,2015,2016,69.08,73.65,4.57,6.62,Naik
BALI,SMA,2016,2017,73.65,74.62,0.97,1.32,Naik
BALI,SMA,2017,2018,74.62,78.67,4.05,5.43,Naik
BALI,SMA,2018,2019,78.67,64.52,-14.15,-17.99,Turun
BALI,SMA,2019,2020,64.52,74.88,10.36,16.06,Naik
BALI,SMA,2020,2021,74.88,75.86,0.98,1.31,Naik
BALI,SMA,2021,2022,75.86,76.59,0.73,0.96,Naik
BALI,SMA,2022,2023,76.59,76.51,-0.08,-0.1,Stabil
BANTEN,SD,2015,2016,91.66,94.48,2.82,3.08,Naik
BANTEN,SD,2016,2017,94.48,97.56,3.08,3.26,Naik
BANTEN,SD,2017,2018,97.56,95.35,-2.21,-2.27,Turun
BANTEN,SD,2018,2019,95.35,96.26,0.91,0.95,Naik
BANTEN,SD,2019,2020,96.26,96.03,-0.23,-0.24,Stabil
BANTEN,SD,2020,2021,96.03,98.82,2.79,2.91,Naik
BANTEN,SD,2021,2022,98.82,97.24,-1.58,-1.6,Turun
BANTEN,SD,2022,2023,97.24,97.15,-0.09,-0.09,Stabil
BANTEN,SMP,2015,2016,79.23,82.69,3.46,4.37,Naik
BANTEN,SMP,2016,2017,82.69,86.82,4.13,4.99,Naik
BANTEN,SMP,2017,2018,86.82,85.21,-1.61,-1.85,Turun
BANTEN,SMP,2018,2019,85.21,87.4,2.19,2.57,Naik
BANTEN,SMP,2019,2020,87.4,86.7,-0.7,-0.8,Turun
BANTEN,SMP,2020,2021,86.7,90.63,3.93,4.53,Naik
BANTEN,SMP,2021,2022,90.63,92.65,2.02,2.23,Naik
BANTEN,SMP,2022,2023,92.65,90.86,-1.79,-1.93,Turun
BANTEN,SMA,2015,2016,52.95,60.83,7.88,14.88,Naik
BANTEN,SMA,2016,2017,60.83,59.87,-0.96,-1.58,Turun
BANTEN,SMA,2017,2018,59.87,67.54,7.67,12.81,Naik
BANTEN,SMA,2018,2019,67.54,56.94,-10.6,-15.69,Turun
BANTEN,SMA,2019,2020,56.94,64.24,7.3,12.82,Naik
BANTEN,SMA,2020,2021,64.24,66.9,2.66,4.14,Naik
BANTEN,SMA,2021,2022,66.9,66.02,-0.88,-1.32,Turun
BANTEN,SMA,2022,2023,66.02,70.07,4.05,6.13,Naik
BENGKULU,SD,2015,2016,92.15,93.98,1.83,1.99,Naik
BENGKULU,SD,2016,2017,93.98,94.23,0.25,0.27,Stabil
BENGKULU,SD,2017,2018,94.23,93.2,-1.03,-1.09,Turun
BENGKULU,SD,2018,2019,93.2,93.33,0.13,0.14,Stabil
BENGKULU,SD,2019,2020,93.33,95.16,1.83,1.96,Naik
BENGKULU,SD,2020,2021,95.16,98.16,3.0,3.15,Naik
BENGKULU,SD,2021,2022,98.16,97.65,-0.51,-0.52,Turun
BENGKULU,SD,2022,2023,97.65,97.1,-0.55,-0.56,Turun
BENGKULU,SMP,2015,2016,78.16,84.21,6.05,7.74,Naik
BENGKULU,SMP,2016,2017,84.21,82.9,-1.31,-1.56,Turun
BENGKULU,SMP,2017,2018,82.9,86.34,3.44,4.15,Naik
BENGKULU,SMP,2018,2019,86.34,85.13,-1.21,-1.4,Turun
BENGKULU,SMP,2019,2020,85.13,87.68,2.55,3.0,Naik
BENGKULU,SMP,2020,2021,87.68,89.94,2.26,2.58,Naik
BENGKULU,SMP,2021,2022,89.94,90.81,0.87,0.97,Naik
BENGKULU,SMP,2022,2023,90.81,89.25,-1.56,-1.72,Turun
BENGKULU,SMA,2015,2016,55.94,64.31,8.37,14.96,Naik
BENGKULU,SMA,2016,2017,64.31,62.57,-1.74,-2.71,Turun
BENGKULU,SMA,2017,2018,62.57,58.86,-3.71,-5.93,Turun
BENGKULU,SMA,2018,2019,58.86,61.47,2.61,4.43,Naik
BENGKULU,SMA,2019,2020,61.47,62.73,1.26,2.05,Naik
BENGKULU,SMA,2020,2021,62.73,62.46,-0.27,-0.43,Stabil
BENGKULU,SMA,2021,2022,62.46,64.88,2.42,3.87,Naik
BENGKULU,SMA,2022,2023,64.88,63.41,-1.47,-2.27,Turun
DI YOGYAKARTA,SD,2015,2016,95.98,96.64,0.66,0.69,Naik
DI YOGYAKARTA,SD,2016,2017,96.64,96.97,0.33,0.34,Stabil
DI YOGYAKARTA,SD,2017,2018,96.97,95.12,-1.85,-1.91,Turun
DI YOGYAKARTA,SD,2018,2019,95.12,94.92,-0.2,-0.21,Stabil
DI YOGYAKARTA,SD,2019,2020,94.92,96.43,1.51,1.59,Naik
DI YOGYAKARTA,SD,2020,2021,96.43,98.48,2.05,2.13,Naik
DI YOGYAKARTA,SD,2021,2022,98.48,98.91,0.43,0.44,Stabil
DI YOGYAKARTA,SD,2022,2023,98.91,98.95,0.04,0.04,Stabil
DI YOGYAKARTA,SMP,2015,2016,87.41,92.87,5.46,6.25,Naik
DI YOGYAKARTA,SMP,2016,2017,92.87,92.13,-0.74,-0.8,Turun
DI YOGYAKARTA,SMP,2017,2018,92.13,92.66,0.53,0.58,Naik
DI YOGYAKARTA,SMP,2018,2019,92.66,92.34,-0.32,-0.35,Stabil
DI YOGYAKARTA,SMP,2019,2020,92.34,92.36,0.02,0.02,Stabil
DI YOGYAKARTA,SMP,2020,2021,92.36,94.94,2.58,2.79,Naik
DI YOGYAKARTA,SMP,2021,2022,94.94,97.06,2.12,2.23,Naik
DI YOGYAKARTA,SMP,2022,2023,97.06,97.02,-0.04,-0.04,Stabil
DI YOGYAKARTA,SMA,2015,2016,80.77,79.95,-0.82,-1.02,Turun
DI YOGYAKARTA,SMA,2016,2017,79.95,85.53,5.58,6.98,Naik
DI YOGYAKARTA,SMA,2017,2018,85.53,81.96,-3.57,-4.17,Turun
DI YOGYAKARTA,SMA,2018,2019,81.96,84.54,2.58,3.15,Naik
DI YOGYAKARTA,SMA,2019,2020,84.54,87.99,3.45,4.08,Naik
DI YOGYAKARTA,SMA,2020,2021,87.99,90.12,2.13,2.42,Naik
DI YOGYAKARTA,SMA,2021,2022,90.12,87.92,-2.2,-2.44,Turun
DI YOGYAKARTA,SMA,2022,2023,87.92,89.69,1.77,2.01,Naik
DKI JAKARTA,SD,2015,2016,96.56,95.32,-1.24,-1.28,Turun
DKI JAKARTA,SD,2016,2017,95.32,97.2,1.88,1.97,Naik
DKI JAKARTA,SD,2017,2018,97.2,95.26,-1.94,-2.0,Turun
DKI JAKARTA,SD,2018,2019,95.26,96.05,0.79,0.83,Naik
DKI JAKARTA,SD,2019,2020,96.05,97.8,1.75,1.82,Naik
DKI JAKARTA,SD,2020,2021,97.8,99.26,1.46,1.49,Naik
DKI JAKARTA,SD,2021,2022,99.26,98.58,-0.68,-0.69,Turun
DKI JAKARTA,SD,2022,2023,98.58,98.66,0.08,0.08,Stabil
DKI JAKARTA,SMP,2015,2016,86.79,90.75,3.96,4.56,Naik
DKI JAKARTA,SMP,2016,2017,90.75,91.2,0.45,0.5,Stabil
DKI JAKARTA,SMP,2017,2018,91.2,92.8,1.6,1.75,Naik
DKI JAKARTA,SMP,2018,2019,92.8,93.02,0.22,0.24,Stabil
DKI JAKARTA,SMP,2019,2020,93.02,94.57,1.55,1.67,Naik
DKI JAKARTA,SMP,2020,2021,94.57,95.0,0.43,0.45,Stabil
DKI JAKARTA,SMP,2021,2022,95.0,95.4,0.4,0.42,Stabil
DKI JAKARTA,SMP,2022,2023,95.4,95.85,0.45,0.47,Stabil
DKI JAKARTA,SMA,2015,2016,74.1,74.74,0.64,0.86,Naik
DKI JAKARTA,SMA,2016,2017,74.74,78.25,3.51,4.7,Naik
DKI JAKARTA,SMA,2017,2018,78.25,83.48,5.23,6.68,Naik
DKI JAKARTA,SMA,2018,2019,83.48,84.35,0.87,1.04,Naik
